questionId;questionTitle;questionDescription;questionType;questionFormat;optionCount;deleted
1;STRATEGIC ALIGNMENT TO CLIENT GOALS, INCLUDING VALUE-BASED CARE, MACRA, MU, ONC;Vendor achieves the overall preference for expertise, appreciation and insight within the client's respective vertical. Organizational structure meets or exceeds the needs of stakeholders and customers in this industry. The client is overwhelmingly likely to recommend the vendor for an engagement for the same software lines or service initiatives.;KPI;0;2;0
2;INNOVATION;Customers are also continuing to push the envelope for further enhancements to which the vendor is responsive. Clients also believe that their vendors' technology is helping them compete more effectively, generate larger revenues and profits and cut their overhead in ways that were difficult or impossible to accomplish before innovative outsourced services were introduced.;KPI;0;0;0
3;TRAINING;Vendor provides significant and meaningful training opportunities for employees and client staff. Vendor strives to develop technology staff, customer service and consultant employees in particular.;KPI;0;0;0
4;CLIENT RELATIONSHIPS;Vendor honors customer relationships highly. The relationship with the vendor elevates the institution's reputation. Improving customer efficiency and effectiveness is a priority of the supplier. Governance of engagement is neither complex for buyer nor does it require vendor management attention regularly. There is no regular transparency or quality issue. Account management liaisons affect relations positively.;KPI;0;0;0
5;TRUST, ACCOUNTABILITY, TRANSPERANCY AND ETHICS;Trust in enterprise reputation is crucial to the outsourced services client as well as prospects. Client possesses an understanding that their organization has the people, processes and resources to effectively deliver the desired business results, based on its industry reputation and past performance.;KPI;0;0;0
6;BREADTH OF OFFERINGS, CLIENT TYPES, DELIVERY EXCELLENCE;Industry recognized horizontal functionality and vertical industry applications to manage bundled managed services. Vendor routinely drives operational performance improvements and results in the areas they affect. Multiple offerings allow vendor to meet the progressive needs of the client. The delivery of services meets or exceeds standards of outcomes.;KPI;0;0;0
7;DEPLOYMENT, UPGRADES AND IMPLEMENTATIONS;Client maintains expedient deployments on all initiatives. Vendor solutions eliminate excessive buyer supervision over vendor implementations. There is a minimized need for consultant management of deployments due to highly astute vendor staff. Services vendor overcomes implementation obstacles and challenges effectively. Technical, organizational and cultural implementation obstacles are handled professionally and timely. Implementation time exceeds expectations.;KPI;0;0;0
8;CUSTOMIZATION;Software products and process services are customized to meet the unique needs of specific client purpose, processes and models. Little resistance to changing performance measurements clients' needs vary.;KPI;0;0;0
9;INTEGRATION AND INTERFACES;Managed services vendor supports interfaces so information can be shared between necessary applications. Solutions are easily integrated to existing backend systems. Seamless interfaces to legacy applications are performed as required for optimal functioning. Human integration and interface activities are administered precisely. Cross-industry and corporate services expertise is evidenced by execution and orchestration of multiple systems and processes.;KPI;0;0;0
10;SCALABILITY, CLIENT ADAPTABILITY, FLEXIBLE PRICING;Vendor provides flexible product and services pricing, allowing client to choose and pay for the precise functionality and services needed. Invested in significant infrastructure and have the ability to provide services to enterprise organizations. Technology and business process products and services meet the changing and varied needs of the customer. Vendor adapts to the client needs with appreciation and elasticity.;KPI;0;0;0
11;COMPENSATION AND EMPLOYEE PERFORMANCE;Vendor is focused on building and developing a strong employee team of producers. Employees act like owners/leaders. Company is moving towards leveraged pay at all levels. Implications of the 'contractor mentality' are minimized. Vendor is using effective tools to tie performance metrics to compensation policy and compensating top leaders. Human resources- related criteria are scored from the client perspective on this indicator.;KPI;0;0;0
